facility_id,address,state,zip_code,hospital_type,hospital_ownership,ownership_category,hhs_region,has_emergency,star_rating,avg_excess_readmission_ratio,max_excess_readmission_ratio,total_discharges,total_readmissions,diagnosis_groups_reported,is_penalized,mspb_score,above_national_median,readmission_rate,quality_tier
010001,1108 ROSS CLARK CIRCLE,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,Government,Region 4,True,4.0,0.9714666666666667,1.0597,1748.0,293.0,6.0,True,1.03,True,0.1676,Above Average
010005,2505 U S HIGHWAY 431 NORTH,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,Government,Region 4,True,3.0,0.890575,0.9935,625.0,79.0,6.0,False,1.0,False,0.1264,Average
010006,1701 VETERANS DRIVE,AL,35630,Acute Care Hospitals,Proprietary,For-Profit,Region 4,True,2.0,0.99255,1.0846,1689.0,274.0,6.0,True,1.02,True,0.1622,Below Average
010007,702 N MAIN ST,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,Non-Profit,Region 4,True,1.0,1.02835,1.0674,120.0,29.0,6.0,True,1.02,True,0.2417,Below Average
010008,101 HOSPITAL CIRCLE,AL,36049,Acute Care Hospitals,Proprietary,For-Profit,Region 4,True,,,,0.0,0.0,6.0,False,1.07,True,,
010011,50 MEDICAL PARK EAST DRIVE,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,Non-Profit,Region 4,True,2.0,1.0251666666666666,1.1146,915.0,165.0,6.0,True,1.02,True,0.1803,Below Average
010012,200 MED CENTER DRIVE,AL,35968,Acute Care Hospitals,Proprietary,For-Profit,Region 4,True,3.0,0.9882799999999999,1.0505,244.0,40.0,6.0,True,1.01,True,0.1639,Average
010016,1000 FIRST STREET NORTH,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,Non-Profit,Region 4,True,2.0,1.0448,1.1477,520.0,99.0,6.0,True,1.05,True,0.1904,Below Average
010018,1720 UNIVERSITY BLVD STE 305,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,Non-Profit,Region 4,True,,,,0.0,0.0,6.0,False,,False,,
010019,1300 SOUTH MONTGOMERY AVENUE,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,Government,Region 4,True,2.0,0.9740500000000001,1.0441,652.0,108.0,6.0,True,1.11,True,0.1656,Below Average
010021,126 HOSPITAL AVE,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,Government,Region 4,True,3.0,1.0338,1.058,99.0,25.0,6.0,True,1.08,True,0.2525,Average
010022,400 NORTHWOOD DR,AL,35960,Acute Care Hospitals,Proprietary,For-Profit,Region 4,True,,0.9728,0.9728,0.0,0.0,6.0,False,1.12,True,,
010023,2105 EAST SOUTH BOULEVARD,AL,36116,Acute Care Hospitals,Government - Hospital District or Authority,Government,Region 4,True,1.0,1.0453833333333333,1.1302,715.0,134.0,6.0,True,1.03,True,0.1874,Below Average
